number;packageName;name;functionality
1;com.gameloft.android.ANMP.GloftDMHM;Despicable Me;GAME
4;com.king.farmheroessaga;Farm Heroes Saga;GAME
5;flipboard.app;Flipboard: Your News Magazine;NEWS_AGREGATOR
6;flipboard.app;Flipboard: Your News Magazine;SHARING
7;flipboard.app;Flipboard: Your News Magazine;NEWS
8;flipboard.app;Flipboard: Your News Magazine;SOCIAL_NETWORK_CONNECTION
9;flipboard.app;Flipboard: Your News Magazine;WIDGET
10;com.cleanmaster.mguard;Clean Master - Free Optimizer;ANDROID_TOOL
11;com.cleanmaster.mguard;Clean Master - Free Optimizer;STORAGE_MANAGER
12;com.whatsapp.wallpaper;WhatsApp Wallpaper;WALLPAPER
13;com.amazon.kindle;Amazon Kindle;READER
14;com.amazon.kindle;Amazon Kindle;ONLINE_SHOPPING
15;com.amazon.kindle;Amazon Kindle;BOOK_REFERENCE
16;com.roidapp.photogrid;Photo Grid - Collage Maker;CAMERA
17;com.roidapp.photogrid;Photo Grid - Collage Maker;PHOTO_EDITING
18;com.roidapp.photogrid;Photo Grid - Collage Maker;SOCIAL_NETWORK_CONNECTION
19;com.roidapp.photogrid;Photo Grid - Collage Maker;SHARING
21;tv.peel.samsung.app;Samsung WatchON™ (On TV);REMOTE_CONTROLS
22;tv.peel.samsung.app;Samsung WatchON™ (On TV);SOCIAL_NETWORK_CONNECTION
23;tv.peel.samsung.app;Samsung WatchON™ (On TV);SHARING
24;tv.peel.samsung.app;Samsung WatchON™ (On TV);TV_GUIDE
25;tv.peel.samsung.app;Samsung WatchON™ (On TV);VIDEO_STREAMING
26;com.google.android.street;Street View on Google Maps;GPS_NAVIGATION
27;com.google.android.street;Street View on Google Maps;POINT_OF_INTEREST
28;com.metago.astro;ASTRO File Manager with Cloud;DOCUMENT_EDITOR
30;com.metago.astro;ASTRO File Manager with Cloud;STORAGE_MANAGER
31;com.metago.astro;ASTRO File Manager with Cloud;SOCIAL_NETWORK_CONNECTION
32;com.king.candycrushsaga;Candy Crush Saga;GAME
33;com.king.candycrushsaga;Candy Crush Saga;SOCIAL_NETWORK_CONNECTION
34;com.google.android.apps.books;Google Play Books;BOOK_REFERENCE
35;com.google.android.apps.books;Google Play Books;ONLINE_SHOPPING
37;com.google.android.apps.books;Google Play Books;READER
38;com.google.android.talk;Hangouts;CAMERA
39;com.google.android.talk;Hangouts;CONTACT_BOOK
40;com.google.android.talk;Hangouts;GPS_NAVIGATION
41;com.google.android.talk;Hangouts;SMS
42;com.google.android.talk;Hangouts;STORAGE_MANAGER
43;com.google.android.talk;Hangouts;VOIP
44;kik.android;Kik Messenger;CONTACT_BOOK
45;kik.android;Kik Messenger;MESSAGING
46;com.google.android.talk;Hangouts;MESSAGING
47;kik.android;Kik Messenger;INTERNET_BROWSER
48;kik.android;Kik Messenger;SMS
49;com.jb.gosms;GO SMS Pro(Messages & Contact);CAMERA
50;com.jb.gosms;GO SMS Pro(Messages & Contact);CONTACT_BOOK
51;com.jb.gosms;GO SMS Pro(Messages & Contact);MESSAGING
52;com.jb.gosms;GO SMS Pro(Messages & Contact);SMS
53;com.twitter.android;Twitter;CONTACT_BOOK
54;com.twitter.android;Twitter;GPS_NAVIGATION
55;com.twitter.android;Twitter;SOCIAL_NETWORK
56;com.yahoo.mobile.client.android.im;Yahoo Messenger;CAMERA
57;com.yahoo.mobile.client.android.im;Yahoo Messenger;CONTACT_BOOK
58;com.yahoo.mobile.client.android.im;Yahoo Messenger;MESSAGING
60;com.yahoo.mobile.client.android.im;Yahoo Messenger;SMS
61;com.yahoo.mobile.client.android.im;Yahoo Messenger;VOIP
62;com.dataviz.docstogo;Docs To Go - Free Office Suite;DOCUMENT_EDITOR
63;com.dataviz.docstogo;Docs To Go - Free Office Suite;STORAGE_MANAGER
64;com.dataviz.docstogo;Docs To Go - Free Office Suite;SOCIAL_NETWORK_CONNECTION
65;com.dataviz.docstogo;Docs To Go - Free Office Suite;READER
66;com.mxtech.videoplayer.ad;MX Player;MULTIMEDIA_PLAYER
