number;label;label;contentLevel
1;BOOKS & REFERENCE;USE_INTERNET;EVERYONE
1002;COMICS;USE_INTERNET;EVERYONE
1003;COMMUNICATION;USE_INTERNET;EVERYONE
1004;COMMUNICATION;USE_CONTACTS;EVERYONE
1005;COMMUNICATION;LOCATE_POSITION;MEDIUM MATURITY
1006;EDUCATION;USE_INTERNET;EVERYONE
1007;ENTERTAINMENT;VIDEO_STREAMING;EVERYONE
1008;ENTERTAINMENT;USE_INTERNET;EVERYONE
1009;FINANCE;MONEY;EVERYONE
1010;HEALTH & FITNESS;LOCATE_POSITION;MEDIUM MATURITY
1011;LIBRARIES & DEMO;USE_INTERNET;EVERYONE
1012;LIFESTYLE;USE_INTERNET;EVERYONE
