number;label;technicalLabel
36;ANDROID_TOOL;ANDROID.PERMISSION.ACCESS_NETWORK_STATE
1;ANDROID_TOOL;ANDROID.PERMISSION.BATTERY_STATS
2;ANDROID_TOOL;ANDROID.PERMISSION.BLUETOOTH
3;ANDROID_TOOL;ANDROID.PERMISSION.BLUETOOTH_ADMIN
4;ANDROID_TOOL;ANDROID.PERMISSION.BROADCAST_STICKY
5;ANDROID_TOOL;ANDROID.PERMISSION.CHANGE_CONFIGURATION
6;ANDROID_TOOL;ANDROID.PERMISSION.CHANGE_NETWORK_STATE
7;ANDROID_TOOL;ANDROID.PERMISSION.CHANGE_WIFI_MULTICAST_STATE
8;ANDROID_TOOL;ANDROID.PERMISSION.CHANGE_WIFI_STATE
9;ANDROID_TOOL;ANDROID.PERMISSION.CLEAR_APP_CACHE
10;ANDROID_TOOL;ANDROID.PERMISSION.DISABLE_KEYGUARD
11;ANDROID_TOOL;ANDROID.PERMISSION.EXPAND_STATUS_BAR
12;ANDROID_TOOL;ANDROID.PERMISSION.GET_PACKAGE_SIZE
13;ANDROID_TOOL;ANDROID.PERMISSION.GET_TASKS
15;ANDROID_TOOL;ANDROID.PERMISSION.KILL_BACKGROUND_PROCESSES
16;ANDROID_TOOL;ANDROID.PERMISSION.PERSISTENT_ACTIVITY
17;ANDROID_TOOL;ANDROID.PERMISSION.READ_PHONE_STATE
18;ANDROID_TOOL;ANDROID.PERMISSION.READ_SYNC_SETTINGS
19;ANDROID_TOOL;ANDROID.PERMISSION.READ_SYNC_STATS
20;ANDROID_TOOL;ANDROID.PERMISSION.RECEIVE_BOOT_COMPLETED
21;ANDROID_TOOL;ANDROID.PERMISSION.REORDER_TASKS
22;ANDROID_TOOL;ANDROID.PERMISSION.SET_ALARM
23;ANDROID_TOOL;ANDROID.PERMISSION.SET_PREFERRED_APPLICATIONS
24;ANDROID_TOOL;ANDROID.PERMISSION.SET_TIME_ZONE
26;ANDROID_TOOL;ANDROID.PERMISSION.SET_WALLPAPER
27;ANDROID_TOOL;ANDROID.PERMISSION.SET_WALLPAPER_HINTS
28;ANDROID_TOOL;ANDROID.PERMISSION.SYSTEM_ALERT_WINDOW
30;ANDROID_TOOL;ANDROID.PERMISSION.UNINSTALL_SHORTCUT
